,praise_comment
0,"精美绝伦的水下世界，宏伟瑰丽的海底奇观，堪称“海底《阿凡达》，水下潘多拉”。
亚特兰蒂斯的史诗级战争气势磅礴，媲美《星球大战》和《指环王》。
动作戏登峰造极，拳拳到肉，让人再次感受《钢铁之躯》的震撼。
飞船追逐更是眼花缭乱，引人入胜，仿佛把《速度与激情》搬到了海底。
寻找三叉戟的探险之旅同样其乐无穷，妙趣横生，又是《夺宝奇兵》的再现。
影片核心又回归到对家庭的探索和对自我的肯定，承载着成长和母爱，自信和亲情。
最后一个镜头让人热泪盈眶，正如托马斯终于等到与妻子重逢，我们也终于等到DC近几年最优秀的电影。
温子仁如卡梅隆和彼得·杰克逊附体，拍了一部动作、冒险、奇幻、超英等元素的集大成者。
它是《黑暗骑士》之后最好的超级英雄电影之一，从此影史将记住《海王》的名字。"
1,海底世界戏份多到超出想象，这是一部主打海洋英雄的片应有的样子，一本满足。撒哈拉沙漠、西西里岛、海沟族追逐戏、地心藏海…奔波全球海洋奇观，上天入地，美不胜收。温子仁手下的DC，不再暗黑，情节跌宕又完整，正如他的恐怖片一样吸人，吸入深海底。亚特兰蒂斯与亚瑟的历史传说，完美融入超级英雄剧情，陆地之子抑或海洋之王，海王不止粗汉也有柔情，三叉戟秒变金箍棒，这不就是《西游记之大闹龙宫》？红发女主的造型很美，特别是水母服。“海洋的世界里没有眼泪” 几十年的灯塔守护直接戳泪，爱一个人不就是这样的无私与痴情？2018最佳娱乐大赏，《狮子王》版《海底总动员》，《黑暗骑士》后最好的DC院线片。
2,马王没能统一的七国终于在变身海王后统一七海了。
3,咸水族的那个帝王蟹，好像很好吃的样子！
4,也别问DC粉儿了，就问你们刚从影院出来的，咱海王硬不硬？！咱海王猛不猛？！温子仁还拍下一集要不要？！！
5,大型海底捞现场，建议带一双筷子去看，毕竟海王他们都备了叉子。超爱的任达华和徐锦江演两父子，港片一代江湖。基德曼又美又帅，为了视觉平衡，抱谁都拍半身为妙，身为仙女级吃货，143分钟只吃一条金鱼。大多角色都有村炮亮相瞬间，长发角色能多甩两回。好些场景很棒，每一个鸡皮疙瘩都是物证。不知为什么海盗可以给自己做盔甲，但他分不清蝠鲼跟苍蝇。湄拉最后一句台词，非常欢乐今宵。不归迪士尼管，却给匹诺曹打了不少广告。看片前要做好放水蓄洪两手准备，不然他们进海出海时那种马桶抽水声会让你灵魂震颤。请欣赏权力的游戏＋海底总动员＋小美人鱼＋哪吒闹海＋星际迷航＋星球大战＋加勒比海盗＋斯巴达克斯＋妈妈咪呀＋罗拉快跑＋猜火车＋哥斯拉＋阿凡达＋侏罗纪世界＋驯龙高手+新白娘子传奇……可以的话就去看IMAX吧。
6,弟弟太惨了，妈不爱，爹没了，老婆跟人跑了，王位被抢了，信任的人早就跟别人跑了，我要是他我也要毁灭世界了😂
7,又翻身，dc的票房一直很好，好不好，自杀小队一亿多投资没国内市场近8亿刀票房，神奇女侠都是北美年度票房第二了，bvs也狂收近9亿刀票房，还要翻身。而且那是dc第一阶段，去看看当年惨烈的漫威第一阶段，就是今天，蚁人 奇异博士之流也就6亿左右票房，怎么没人喊仆街。所以别等了，有色眼镜一带加个双重标准，杠精找茬模式狂开，dc永远仆街，当然还要此地无银的说什么我是dc粉，对dc要求低之类巴拉巴拉，家仇国恨的，说实话真不像dc粉，倒是像漫威股东，何苦呢，到最后影响的是自己观影感受，可惜了好电影
8,"我收回妇联3的五颗星，文艺片才不分高下，商业片只争第一，今年第一，海王。瓦坎达野人方阵在海马禁军和克总触手、闸蟹狂战士面前没有一丁点排面，没有！泰坦星战士用虫海丧尸战术和铁人三项杀敌？多发展几万年全转基因紫薯去了？你打嘛呢弟弟？打不来架就不要打。啥叫格局，海王振臂一呼，
诸天鱼虾蟹卒，听我号令，天不生我阿Q曼，DC万古如长夜，封狼烟，点海马禁军千骑，撒孜然百缕，随我先斩MCU后军贼首，得胜归来，共饮索尔神血，赏汝千杯！杀杀杀！DC干死漫威，亚特兰蒂斯万岁万岁万万岁！"
9,女王：维科，这是我大儿子，剩下的话不用我多说了吧，以后该怎么办，你自己招子放亮一点，好处不会少了你的。维科：晓得了。
10,海王刀枪不入，谁给他做的纹身？
11,温导这是比着指环王在拍啊，这特效叹为观止
12,7分。温子仁确实很厉害，原以为这该是系列中最无趣的一部，尤其各种水下戏份。结果，却难得拍的很好看。影片节奏感和大场面掌控上，确实很见功力。以及，温子仁还融入了很多他自己的趣味，也算很有趣的细节了。整体可看性还不错，就是略长了，海底的光怪陆离，看久了也会有些视觉疲劳。
13,满足了年少时自己对海洋的所有幻想。杰森·莫玛凭一己之力掀起了长发狂野糙汉的审美新潮流，隔壁雷神克里斯·海姆斯沃斯大型溜粉现场？
14,找一个亮堂点的IMAX厅，绝对爽炸
15,语文不好，牛逼就完事了！阿凡达之后最牛逼的视觉大片！没有之一！
